"Time (ps)"	"Counts per bin"
0	13161757
100	0
200	0
300	0
400	0
500	0
600	0
700	0
800	0
900	0
1000	0
1100	0
1200	0
1300	0
1400	0
1500	0
1600	0
1700	0
1800	0
1900	0
2000	0
2100	0
2200	0
2300	0
2400	0
2500	0
2600	0
2700	0
2800	0
2900	0
3000	0
3100	0
3200	0
3300	0
3400	0
3500	0
3600	0
3700	0
3800	0
3900	0
4000	0
4100	0
4200	0
4300	0
4400	0
4500	0
4600	0
4700	0
4800	0
4900	0
5000	0
5100	0
5200	0
5300	0
5400	0
5500	0
5600	0
5700	0
5800	0
5900	0
6000	0
6100	0
6200	0
6300	0
6400	0
6500	0
6600	0
6700	0
6800	0
6900	0
7000	0
7100	0
7200	0
7300	0
7400	0
7500	0
7600	0
7700	0
7800	0
7900	0
8000	0
8100	0
8200	0
8300	0
8400	0
8500	0
8600	0
8700	0
8800	0
8900	0
9000	0
9100	0
9200	0
9300	0
9400	0
9500	0
9600	0
9700	0
9800	0
9900	0
10000	0
10100	0
10200	0
10300	0
10400	0
10500	0
10600	0
10700	0
10800	0
10900	0
11000	0
11100	0
11200	0
11300	0
11400	0
11500	0
11600	0
11700	0
11800	0
11900	0
12000	0
12100	0
12200	0
12300	0
12400	0
12500	0
12600	0
12700	0
12800	0
12900	0
13000	0
13100	0
13200	0
13300	0
13400	0
13500	0
13600	0
13700	0
13800	0
13900	0
14000	0
14100	0
14200	0
14300	0
14400	0
14500	0
14600	0
14700	0
14800	0
14900	0
15000	0
15100	0
15200	0
15300	0
15400	0
15500	0
15600	0
15700	0
15800	0
15900	0
16000	0
16100	0
16200	1
16300	2
16400	1
16500	2
16600	2
16700	2
16800	2
16900	4
17000	8
17100	12
17200	9
17300	16
17400	26
17500	45
17600	52
17700	60
17800	122
17900	113
18000	159
18100	208
18200	220
18300	245
18400	300
18500	326
18600	350
18700	382
18800	362
18900	423
19000	379
19100	412
19200	410
19300	461
19400	481
19500	483
19600	474
19700	495
19800	489
19900	493
20000	517
20100	522
20200	494
20300	531
20400	572
20500	528
20600	521
20700	508
20800	540
20900	532
21000	574
21100	489
21200	514
21300	525
21400	503
21500	521
21600	536
21700	515
21800	561
21900	527
22000	575
22100	549
22200	505
22300	510
22400	567
22500	554
22600	543
22700	510
22800	553
22900	569
23000	523
23100	511
23200	525
23300	547
23400	510
23500	534
23600	562
23700	532
23800	586
23900	538
24000	545
24100	567
24200	550
24300	573
24400	546
24500	578
24600	561
24700	537
24800	559
24900	576
